,date,closing_price
99,2022-11-03 04:00:00,138.88
100,2022-11-04 04:00:00,138.38
101,2022-11-07 05:00:00,138.92
102,2022-11-08 05:00:00,139.5
103,2022-11-09 05:00:00,134.87
104,2022-11-10 05:00:00,146.87
105,2022-11-11 05:00:00,149.7
106,2022-11-14 05:00:00,148.28
107,2022-11-15 05:00:00,150.04
108,2022-11-16 05:00:00,148.79
109,2022-11-17 05:00:00,150.72
110,2022-11-18 05:00:00,151.29
111,2022-11-21 05:00:00,148.01
112,2022-11-22 05:00:00,150.18
113,2022-11-23 05:00:00,151.07
114,2022-11-25 05:00:00,148.11
115,2022-11-28 05:00:00,144.22
116,2022-11-29 05:00:00,141.17
117,2022-11-30 05:00:00,148.03
118,2022-12-01 05:00:00,148.31
119,2022-12-02 05:00:00,147.81
120,2022-12-05 05:00:00,146.63
121,2022-12-06 05:00:00,142.91
122,2022-12-07 05:00:00,140.94
123,2022-12-08 05:00:00,142.65
124,2022-12-09 05:00:00,142.16
125,2022-12-12 05:00:00,144.49
126,2022-12-13 05:00:00,145.47
127,2022-12-14 05:00:00,143.21
128,2022-12-15 05:00:00,136.5
129,2022-12-16 05:00:00,134.51
130,2022-12-19 05:00:00,132.37
131,2022-12-20 05:00:00,132.3
132,2022-12-21 05:00:00,135.45
133,2022-12-22 05:00:00,132.23
134,2022-12-23 05:00:00,131.86
135,2022-12-27 05:00:00,130.03
136,2022-12-28 05:00:00,126.04
137,2022-12-29 05:00:00,129.61
138,2022-12-30 05:00:00,129.93
139,2023-01-03 05:00:00,125.07
140,2023-01-04 05:00:00,126.36
141,2023-01-05 05:00:00,125.02
142,2023-01-06 05:00:00,129.62
143,2023-01-09 05:00:00,130.15
144,2023-01-10 05:00:00,130.73
145,2023-01-11 05:00:00,133.49
146,2023-01-12 05:00:00,133.41
147,2023-01-13 05:00:00,134.76
148,2023-01-17 05:00:00,135.94
149,2023-01-18 05:00:00,135.21
150,2023-01-19 05:00:00,135.27
151,2023-01-20 05:00:00,137.87
152,2023-01-23 05:00:00,141.11
153,2023-01-24 05:00:00,142.53
154,2023-01-25 05:00:00,141.86
155,2023-01-26 05:00:00,143.96
156,2023-01-27 05:00:00,145.93
157,2023-01-30 05:00:00,143.0
158,2023-01-31 05:00:00,144.29
159,2023-02-01 05:00:00,145.43
160,2023-02-02 05:00:00,150.82
161,2023-02-03 05:00:00,154.5
162,2023-02-06 05:00:00,151.73
163,2023-02-07 05:00:00,154.65
164,2023-02-08 05:00:00,151.92
165,2023-02-09 05:00:00,150.87
166,2023-02-10 05:00:00,151.01
167,2023-02-13 05:00:00,153.85
168,2023-02-14 05:00:00,153.2
169,2023-02-15 05:00:00,155.33
170,2023-02-16 05:00:00,153.71
171,2023-02-17 05:00:00,152.55
172,2023-02-21 05:00:00,148.48
173,2023-02-22 05:00:00,148.91
174,2023-02-23 05:00:00,149.4
175,2023-02-24 05:00:00,146.71
176,2023-02-27 05:00:00,147.92
177,2023-02-28 05:00:00,147.41
178,2023-03-01 05:00:00,145.31
179,2023-03-02 05:00:00,145.91
180,2023-03-03 05:00:00,151.03
181,2023-03-06 05:00:00,153.83
182,2023-03-07 05:00:00,151.6
183,2023-03-08 05:00:00,152.87
184,2023-03-09 05:00:00,150.59
185,2023-03-10 05:00:00,148.5
186,2023-03-13 04:00:00,150.47
187,2023-03-14 04:00:00,152.59
188,2023-03-15 04:00:00,152.99
189,2023-03-16 04:00:00,155.85
190,2023-03-17 04:00:00,155.0
191,2023-03-20 04:00:00,157.4
192,2023-03-21 04:00:00,159.28
193,2023-03-22 04:00:00,157.83
194,2023-03-23 04:00:00,158.93
195,2023-03-24 04:00:00,160.25
196,2023-03-27 04:00:00,158.28
197,2023-03-28 04:00:00,157.65
198,2023-03-29 04:00:00,160.77
199,2023-03-30 04:00:00,162.36
200,2023-03-31 04:00:00,164.9
201,2023-04-03 04:00:00,166.17
202,2023-04-04 04:00:00,165.63
203,2023-04-05 04:00:00,163.76
204,2023-04-06 04:00:00,164.66
205,2023-04-10 04:00:00,162.03
206,2023-04-11 04:00:00,160.8
207,2023-04-12 04:00:00,160.1
208,2023-04-13 04:00:00,165.56
209,2023-04-14 04:00:00,165.21
210,2023-04-17 04:00:00,165.23
211,2023-04-18 04:00:00,166.47
212,2023-04-19 04:00:00,167.63
213,2023-04-20 04:00:00,166.65
214,2023-04-21 04:00:00,165.02
215,2023-04-24 04:00:00,165.33
216,2023-04-25 04:00:00,163.77
217,2023-04-26 04:00:00,163.76
218,2023-04-27 04:00:00,168.41
